id,ts,src_account_id,dst_account_id,merchant_id,amount,channel,device_id,location,suspect,fraud,meta
1,2025-11-22T00:13:48.044999,479,248,35,1644.33,mobile,22,Moreira,0,0,"{""note"": ""Enim tenetur qui quod odio.""}"
2,2025-11-21T15:36:31.044999,61,509,94,1306.39,pix,283,Câmara dos Dourados,0,0,"{""note"": ""Labore atque sed voluptas.""}"
3,2025-11-21T22:16:46.044999,39,177,36,862.78,card,57,da Cunha,0,0,"{""note"": ""Doloremque sit et neque commodi.""}"
4,2025-11-22T02:02:10.044999,220,596,90,1999.0,web,102,Garcia,0,0,"{""note"": ""Sunt consectetur voluptates ipsam aspernatur culpa blanditiis.""}"
5,2025-11-21T11:18:10.044999,313,551,59,1499.82,card,25,Marques do Galho,0,0,"{""note"": ""Pariatur impedit impedit sunt.""}"
6,2025-11-21T17:32:06.044999,380,417,11,795.71,web,276,Machado das Flores,0,0,"{""note"": ""Exercitationem quibusdam atque natus dolore architecto saepe possimus.""}"
7,2025-11-21T17:03:50.044999,477,457,20,1858.68,ted,178,Pinto,0,0,"{""note"": ""Atque laudantium perferendis officia quaerat quasi commodi.""}"
8,2025-11-22T07:56:54.044999,402,266,71,569.65,card,136,Farias de Sá,0,0,"{""note"": ""Reiciendis labore quas aperiam necessitatibus magni excepturi.""}"
9,2025-11-21T09:52:30.044999,577,542,63,349.29,mobile,275,da Rosa do Norte,0,0,"{""note"": ""Nesciunt fugit iure non odio.""}"
10,2025-11-22T03:20:43.044999,37,414,18,236.74,ted,116,Vasconcelos dos Dourados,0,0,"{""note"": ""Rerum architecto porro earum accusantium ipsum consequuntur.""}"
11,2025-11-22T04:05:01.044999,568,503,25,625.26,mobile,128,Castro,0,0,"{""note"": ""Laboriosam laudantium dolor ipsum animi.""}"
12,2025-11-22T02:01:03.044999,171,350,16,1540.31,ted,218,Pereira das Flores,0,0,"{""note"": ""Voluptates minus numquam omnis commodi.""}"
13,2025-11-21T11:03:16.044999,494,2,42,165.95,card,213,Rios Grande,0,0,"{""note"": ""Vel commodi dolor.""}"
14,2025-11-21T13:02:29.044999,5,243,51,782.87,card,177,da Paz,0,0,"{""note"": ""Aspernatur saepe ut provident unde et nulla.""}"
15,2025-11-21T22:12:24.044999,451,27,1,1961.74,mobile,171,Montenegro dos Dourados,0,0,"{""note"": ""Quaerat ab ducimus debitis facere dolore.""}"
16,2025-11-21T10:01:51.044999,137,329,100,637.35,card,192,Macedo do Norte,0,0,"{""note"": ""Quia ut libero facilis.""}"
17,2025-11-21T13:55:08.044999,285,219,83,324.85,mobile,71,Cunha de Rodrigues,0,0,"{""note"": ""Fuga nostrum ipsa doloribus illum unde aliquam.""}"
18,2025-11-22T07:07:16.044999,309,471,37,40.95,ted,250,Sales do Galho,0,0,"{""note"": ""Occaecati ut temporibus accusantium.""}"
19,2025-11-21T23:26:30.044999,409,75,59,1607.84,web,142,Machado,0,0,"{""note"": ""Dolor id earum reprehenderit doloribus.""}"
20,2025-11-21T16:06:08.044999,52,20,67,1720.3,mobile,39,Sá,0,0,"{""note"": ""Temporibus corporis nisi sint.""}"
21,2025-11-21T18:46:34.044999,323,81,65,1351.46,ted,18,Araújo dos Dourados,0,0,"{""note"": ""Omnis odit libero.""}"
22,2025-11-22T07:23:54.044999,497,261,53,1798.78,pix,149,Montenegro de Campos,0,0,"{""note"": ""Excepturi consectetur sed incidunt aliquam incidunt.""}"
23,2025-11-21T16:09:10.044999,508,301,51,265.32,mobile,184,Araújo de da Luz,0,0,"{""note"": ""A nostrum reprehenderit ipsam animi magni minima animi.""}"
24,2025-11-21T20:53:42.044999,153,431,61,1823.53,web,57,Martins de Moraes,0,0,"{""note"": ""Accusantium nostrum omnis.""}"
25,2025-11-21T13:32:00.044999,388,436,43,729.54,card,128,Aragão,0,0,"{""note"": ""Perferendis architecto ipsa similique unde quas debitis.""}"
26,2025-11-21T11:11:43.044999,381,337,43,354.21,mobile,43,Sales de Casa Grande,0,0,"{""note"": ""Amet eum doloribus libero.""}"
27,2025-11-22T05:59:21.044999,441,215,42,1913.56,web,143,Mendes,0,0,"{""note"": ""Incidunt necessitatibus accusantium animi.""}"
28,2025-11-21T09:51:32.044999,268,518,9,617.04,ted,165,Rezende do Oeste,0,0,"{""note"": ""Quis est nobis cupiditate.""}"
29,2025-11-22T02:31:21.044999,529,159,100,569.73,ted,279,Melo do Oeste,0,0,"{""note"": ""Animi adipisci quae facere voluptates labore.""}"
30,2025-11-21T12:16:51.044999,396,567,25,365.55,pix,206,Lima,0,0,"{""note"": ""Rerum magni dolor deleniti necessitatibus nihil.""}"
31,2025-11-21T12:28:37.044999,121,401,5,1707.91,ted,13,Câmara de Cirino,0,0,"{""note"": ""Sit ab inventore ullam dicta excepturi reprehenderit quae.""}"
32,2025-11-22T08:41:08.044999,365,309,22,602.31,web,229,Nascimento Alegre,0,0,"{""note"": ""Harum voluptatum sint fuga ullam quos.""}"
33,2025-11-21T21:16:46.044999,550,598,68,1903.95,card,8,Siqueira,0,0,"{""note"": ""Molestiae laudantium porro iure asperiores.""}"
34,2025-11-21T15:50:16.044999,251,111,68,1988.47,web,27,Camargo,0,0,"{""note"": ""Voluptatum ex cum atque.""}"
35,2025-11-21T08:43:45.044999,535,580,40,46.05,ted,266,Fonseca,0,0,"{""note"": ""Autem a necessitatibus labore recusandae distinctio.""}"
36,2025-11-22T07:58:58.044999,176,260,54,56.88,ted,297,Moura do Amparo,0,0,"{""note"": ""Nam dignissimos at.""}"
37,2025-11-21T13:00:28.044999,311,194,91,349.64,pix,37,Rocha de Rios,0,0,"{""note"": ""Reiciendis quos id fugit.""}"
38,2025-11-21T09:15:41.044999,301,143,17,1314.4,mobile,22,da Costa,0,0,"{""note"": ""Non commodi labore pariatur.""}"
39,2025-11-22T02:33:05.044999,521,144,12,1439.5,ted,238,Montenegro,0,0,"{""note"": ""Ut voluptatem molestias earum soluta quo.""}"
40,2025-11-21T14:42:44.044999,472,353,9,1434.97,mobile,260,Freitas,0,0,"{""note"": ""At iusto voluptatibus.""}"
41,2025-11-22T05:57:06.044999,122,26,71,676.08,card,16,Nunes,0,0,"{""note"": ""Sequi praesentium accusamus saepe esse sed.""}"
42,2025-11-21T11:18:49.044999,84,139,59,1287.01,mobile,101,Sampaio de Goiás,0,0,"{""note"": ""Ut optio eveniet.""}"
43,2025-11-21T20:29:48.044999,49,286,96,1050.36,mobile,49,Carvalho,0,0,"{""note"": ""Accusantium dolor earum labore suscipit nisi.""}"
44,2025-11-21T19:18:48.044999,183,333,36,1065.99,card,30,Sampaio,0,0,"{""note"": ""Dolorem minima dolore facilis quod.""}"
45,2025-11-21T15:30:03.044999,589,591,26,1239.42,pix,126,da Conceição,0,0,"{""note"": ""Corporis expedita deserunt eum porro.""}"
46,2025-11-21T14:18:33.044999,277,548,25,879.94,ted,185,Cavalcanti Verde,0,0,"{""note"": ""Aspernatur nihil eveniet saepe illum occaecati.""}"
47,2025-11-21T16:53:56.044999,101,381,11,1045.53,ted,200,Jesus,0,0,"{""note"": ""Distinctio quidem eaque aperiam.""}"
48,2025-11-21T13:43:28.044999,280,449,97,963.27,web,88,da Costa de Minas,0,0,"{""note"": ""Nisi quo sint sint repellat.""}"
49,2025-11-22T07:02:08.044999,3,18,43,108.95,card,236,da Luz,0,0,"{""note"": ""Dolor iure soluta cupiditate harum minus modi.""}"
50,2025-11-22T03:35:20.044999,262,204,13,489.42,ted,275,Carvalho,0,0,"{""note"": ""Quasi magnam odio hic dolore nihil.""}"
51,2025-11-21T23:38:33.044999,241,519,72,457.21,mobile,235,Viana,0,0,"{""note"": ""Repellat ipsa ducimus quo cupiditate reiciendis.""}"
52,2025-11-21T21:54:30.044999,207,374,8,1519.46,ted,84,Azevedo dos Dourados,0,0,"{""note"": ""Sed fugit dolores reprehenderit aliquid ad error nobis.""}"
53,2025-11-21T19:11:45.044999,39,300,65,276.04,pix,213,Aparecida,0,0,"{""note"": ""Sed consequuntur ducimus quis.""}"
54,2025-11-21T22:32:58.044999,255,440,70,490.3,ted,245,Monteiro do Sul,0,0,"{""note"": ""Voluptates dignissimos et mollitia quasi illo.""}"
55,2025-11-21T14:53:32.044999,110,263,43,1961.81,mobile,252,Camargo,0,0,"{""note"": ""Quasi non omnis in blanditiis.""}"
56,2025-11-22T07:18:25.044999,422,392,26,1552.55,card,8,da Costa,0,0,"{""note"": ""Id vero eum iure labore voluptas quas.""}"
57,2025-11-22T08:41:38.044999,405,177,20,1391.91,web,46,Costela,0,0,"{""note"": ""Perspiciatis qui modi animi quos quis.""}"
58,2025-11-22T07:48:52.044999,323,77,94,713.46,pix,232,Fonseca Alegre,0,0,"{""note"": ""Cum similique in consectetur fuga molestias nobis.""}"
59,2025-11-22T02:00:38.044999,407,31,42,1727.46,mobile,261,Almeida Verde,0,0,"{""note"": ""Sit ullam cupiditate eveniet.""}"
60,2025-11-21T21:06:40.044999,154,501,62,265.97,card,50,da Conceição,0,0,"{""note"": ""Incidunt eos velit doloribus enim aperiam.""}"
61,2025-11-21T22:25:43.044999,3,599,12,1330.83,card,157,Vasconcelos,0,0,"{""note"": ""Soluta earum consequatur sed.""}"
62,2025-11-21T15:02:03.044999,521,460,79,744.02,web,47,Aparecida,0,0,"{""note"": ""Facere optio impedit perferendis explicabo.""}"
63,2025-11-21T21:37:49.044999,413,388,10,1039.06,mobile,221,da Mota de Fonseca,0,0,"{""note"": ""Perspiciatis quasi aut facere cupiditate ullam provident temporibus.""}"
64,2025-11-21T21:14:49.044999,537,52,22,1766.41,ted,191,Moura,0,0,"{""note"": ""Beatae laborum neque.""}"
65,2025-11-21T11:56:15.044999,518,440,94,809.31,card,200,Viana,0,0,"{""note"": ""Cum quis velit nulla.""}"
66,2025-11-22T01:05:47.044999,490,35,89,37.4,ted,203,Teixeira Paulista,0,0,"{""note"": ""Animi explicabo dolorum.""}"
67,2025-11-22T07:35:48.044999,298,400,94,1252.13,pix,179,Pacheco,0,0,"{""note"": ""Praesentium occaecati dolores soluta illum ea.""}"
68,2025-11-21T14:10:24.044999,493,548,77,402.48,mobile,246,Ferreira do Oeste,0,0,"{""note"": ""Excepturi vel tenetur nulla magni eum quos.""}"
69,2025-11-21T23:48:15.044999,269,487,29,477.7,ted,256,da Mata da Mata,0,0,"{""note"": ""Consectetur harum neque quod.""}"
70,2025-11-22T06:18:57.044999,124,380,4,1103.04,card,164,Mendonça de Vasconcelos,0,0,"{""note"": ""Perferendis tempora praesentium architecto quia accusantium ipsa iusto.""}"
